Scope: to support the registration, discovery and search of devices in IoT infrastructures... Also retrieve and update...;;;;;;;;;;;;
Requirement;;;;;;;;;;;;Ontology Code - Traceability
Identifier (domain+id);Responsible partner;Associated Project Task;Sprint;"Competency Question /
Natural language sentence (fact)";Answer;Status (Proposed, Accepted, Rejected, Deprecated);Superseded by;Comments;Extracted from (provenance);"Priority 
(High, Medium, Low)";Relation with other requirements;Associated ontology elements
;;;;Flood Sensor;;;;;;;;
core1;UPM;;;What is  the type of the deployed device for flood detection ?;"The Flood sensor is the responsible of 
flood detection ";P;;covered in adapters auroral ontology ;;;;core:Sensor
core2;UPM;;;Which attributes has a flood sensor ? ;"The main properties of the flood 
devices are the device identifiant and 
the battery level ";P;;covered in adapters auroral ontology ;;;;
core3;UPM;;;Which measurement detect the flood sensor ? ;"The detected measurements from the
 flood sensor are: Temperature and 
Flood";P;;covered in adapters auroral ontology ;;;;ssn:Property
core4;UPM;;;In which location the sensor is deployed ?;indicates the location where the device is located. Location can be  expressed within the GPS coordinates (longitude, latitude);P;;covered in adapters auroral ontology ;;;;geo:Location
core5;UPM;;;Which reasons woke up the device;list of reasons which woke up the device: battery, button, periodic, poweron, sensor, alarm;P;;Not covered in adapters auroral ontology ;;;;wot: Action Affordance
;;;;Energy Monitor;;;;;;;;
core6;UPM;;;What is  the type of the deployed device ?;The energy sensor detects data about energy ;P;;covered in adapters auroral ontology ;;;;core:Sensor
core7;UPM;;;Which attributes has an energy monitor ? ;The attributes of the energy sensor are: Id-device, power, voltage, current, power factor, status;P;;covered in adapters auroral ontology ;;;;
core8;UPM;;;Which measurement detect the energy monitor? ;The energy sensor detects data about: returned energy, total energy, total returned energy;P;;covered in adapters auroral ontology ;;;;ssn:Property
core9;UPM;;;In which location the sensor is deployed ?;indicates the location where the device is located. Location can be  expressed within the GPS coordinates (longitude, latitude);P;;covered in adapters auroral ontology ;;;;geo:Location
core10;UPM;;;What are the possible commands of an energy monitor ? ;The possible commands that can be executed are: On, off or toggle, reset-totals, total-returned, reset-data;P;;Not covered in adapters auroral ontology ;;;;wot: Action Affordance
;;;;Motion sensor;;;;;;;;
core11;UPM;;;What is  the type of the deployed device ?;Motion sensor is the device for motion detection;P;;covered in adapters auroral ontology ;;;;core:Sensor
core12;UPM;;;Which attributes has the motion sensor ? ;"The main attributes of the motion
devices are: the device identifiant, the battery level, the timestamp, and the status";P;;covered in adapters auroral ontology ;;;;
core13;UPM;;;Which measurement detect the motion sensor? ;Motion sensor detects measurements about motion, vibration and lux ;P;;covered in adapters auroral ontology ;;;;ssn:Property
core14;UPM;;;In which location the sensor is deployed ?;indicates the location where the device is located. Location can be  expressed within the GPS coordinates (longitude, latitude);P;;covered in adapters auroral ontology ;;;;geo:Location
;;;;Temperature and Humidity sensor;;;;;;;;
core15;UPM;;;What is  the type of the deployed device ?;The deployed device is the temperature and humidity sensor;P;;covered in adapters auroral ontology ;;;;core:Sensor
core16;UPM;;;Which attributes has a temperature and humidity sensor ? ;The attribute of this sensor are: device identifiant (Id-device) the power (ext_power);P;;covered in adapters auroral ontology ;;;;
core17;UPM;;;Which measurement detect the temperature and humidity sensor ? ;Temperature, Humidity ;P;;covered in adapters auroral ontology ;;;;
core18;UPM;;;What is the unit of each measurement;this allows to identify the unit (°C or °F);P;;covered in adapters auroral ontology ;;;;
core19;UPM;;;In which location the sensor is deployed ?;indicates the location where the device is located. Location can be  expressed within the GPS coordinates (longitude, latitude);P;;covered in adapters auroral ontology ;;;;
core20;UPM;;;Which reasons woke up the device;list of reasons which woke up the device: battery, button, periodic, poweron, sensor, alarm;P;;Not covered in core auroral ontology ;;;;
;;;;GPS Emergency;;;;;;;;
core21;UPM;;;What is  the type of the deployed device ?;GPS sensor sends values about location ;P;;covered in adapters auroral ontology ;;;;core:Sensor
